"species","type","N","regionRP","canopycont","f_b","whc","c_n","t1_avgmax","tmoist_avgmin","winteravgmn","springtotalsnow","(Intercept)","poly(springtotalsnow, 2)1","poly(springtotalsnow, 2)2","R2","poly(whc, 2)1","poly(whc, 2)2","poly(canopycont, 2)1","poly(canopycont, 2)2","poly(c_n, 2)1","poly(c_n, 2)2","poly(winteravgmn, 2)1","poly(winteravgmn, 2)2","poly(f_b, 2)1","poly(f_b, 2)2"
"TELGRA","bin","170","1.8","-0.83","-0.25","-0.02","-0.78",NA,NA,NA,"0.09","-3.21",NA,NA,"0.05-0.06",NA,NA,NA,NA,NA,NA,"17.89","0.42",NA,NA
"TOLMEN","bin","171",NA,"-1.16","-0.39","-0.48","-1.94",NA,NA,"1.69","0.82","-3",NA,NA,"0.16-0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VACDEL","bin","174","-2.84",NA,"-0.18",NA,NA,NA,NA,"0.25","0.01","-1.32",NA,NA,"0.02-0.03",NA,NA,"-9.58","-12.59",NA,NA,NA,NA,NA,NA
"MAHAQU","bin","174","0.24","-0.03","-0.42","-0.1","-0.06",NA,NA,NA,"-0.1","-3.43",NA,NA,"0-0",NA,NA,NA,NA,NA,NA,"3.52","1.87",NA,NA
"MAHNER","cont","9",NA,NA,NA,"0.33",NA,NA,NA,NA,NA,"-0.48",NA,NA,"0-0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERILAN","cont*","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.88",NA,NA,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VACPAR","cont","43",NA,NA,NA,"0.07",NA,NA,NA,NA,NA,"-1.09",NA,NA,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUPLAT","cont","30","0.07","0.02","-0.04",NA,NA,NA,NA,"0.15","0.08","-0.83",NA,NA,"0-0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABILAS","cont","10",NA,NA,NA,NA,"0.7",NA,NA,NA,NA,"-0.67",NA,NA,"0-0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANEOCC","cont","10",NA,NA,"0.28",NA,"-0.1",NA,NA,NA,NA,"-0.4",NA,NA,"0-0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERIPER","cont","23",NA,"0.44",NA,"0.17",NA,NA,NA,NA,NA,"-1.49",NA,NA,"0-0.11",NA,NA,NA,NA,NA,NA,NA,NA,"-0.66","-2.08"
"PICENG","cont","11",NA,NA,NA,NA,NA,NA,NA,"-0.15",NA,"-0.44",NA,NA,"0-0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUBURS","cont","33",NA,NA,NA,"0.1","-0.04",NA,NA,NA,NA,"-1.4",NA,NA,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SORSIT","cont","76","0.1",NA,"-0.01","0","0.08",NA,NA,"-0.01","0.06","-2.18",NA,NA,"0-0",NA,NA,"0.43","-0.16",NA,NA,NA,NA,NA,NA
"TELGRA","cont","29","-1.99","0.08","0.1",NA,NA,NA,NA,"0.09",NA,"-1.12",NA,NA,"0-0.1","-1.04","1.43",NA,NA,NA,NA,NA,NA,NA,NA
"TOLMEN","cont","33","-0.3",NA,"-0.05",NA,"-0.08",NA,NA,NA,NA,"-2.35",NA,NA,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VACDEL","cont","24",NA,NA,NA,"-0.12","-0.09",NA,NA,NA,NA,"-1.82",NA,NA,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAHAQU","cont","8",NA,NA,NA,"0.25","0.41",NA,NA,NA,NA,"-0.2",NA,NA,"0-0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
